key_name,bleu_scores_answer,bleu_scores_non_gold_rationale,bleu_scores_gold_rationale,bert_scores_answer,bert_scores_non_gold_rationale,bert_scores_gold_rationale,rouge_scores_answer,rouge_scores_non_gold_rationale,rouge_scores_gold_rationale
full gemini_1_5_flash normal,0.1894635019,0.06027388509,0.0816849253,0.9329336902,0.8691512329,0.87295761,0.8036756809,0.3727127182,0.3880568592
full gemini_1_5_flash cot,0.03077321569,0.05627022063,0.0856345391,0.9328698115,0.8706072104,0.8721105697,0.8018196862,0.3718173591,0.3845568728
full gemma_7b_it normal,0.05561033803,0.0862304954,0.09115671405,0.9055090799,0.8595568097,0.8691463685,0.5109653563,0.3535783832,0.3828146387
full gemma_7b_it cot,0.03580539898,0.08647406547,0.08541717552,0.8897082543,0.8614275348,0.8662718586,0.3864485984,0.3572398713,0.3791405389
full GPT_3_5 normal,0.3786949441,0.1108279947,0.1261366182,0.9576439591,0.8753497523,0.8831063706,0.8019876802,0.3938875291,0.4264577111
full GPT_3_5 cot,0.3704266431,0.1124892157,0.1243712917,0.9578163673,0.8763444187,0.8815965954,0.8091896478,0.3974276444,0.4250688284
full GPT_4 normal,0.5232031103,0.07361157768,0.074819791,0.9734145991,0.8731168423,0.8767557023,0.8985711316,0.3625542415,0.3762135946
full GPT_4 cot,0.5363578672,0.07247358686,0.07292745756,0.9740870374,0.8730162398,0.8760176444,0.8991311061,0.360746405,0.3788852471
full llama3_8b_8192 normal,0.3569053676,0.0838881504,0.09275660217,0.9507002063,0.8634486249,0.8706314494,0.7450588513,0.3539669474,0.3771522938
full llama3_8b_8192 cot,0.352766595,0.08243367336,0.0975205276,0.9502399491,0.8638639618,0.8712375691,0.7421426257,0.3513985666,0.3760749911
full llama3_70b_8192 normal,0.4609182104,0.1023186154,0.1023364223,0.9649951558,0.8725689498,0.8773449936,0.8340157294,0.3915423721,0.4082338584
full llama3_70b_8192 cot,0.4625958209,0.09731386897,0.1076649549,0.9651562878,0.8720616146,0.8787522042,0.8360545097,0.3930335804,0.4172900535
full mixtral_8x7b_32768 normal,0.02249225034,0.08478765507,0.0791770022,0.8765418485,0.8702540683,0.873297736,0.2864537207,0.3547894174,0.3630555231
full mixtral_8x7b_32768 cot,0.02087300352,0.08102646921,0.07955237781,0.8800542165,0.870362915,0.8740547297,0.3060039402,0.3553959234,0.3654330688
indic gemini_1_5_flash normal,0,0,0,0.8141372502,0.7964058183,0.8068204582,0,0,0
indic gemini_1_5_flash cot,0,0,0,0.8141372502,0.7965124495,0.8073690891,0,0,0
indic gemma_7b_it normal,0,0,0,0.8141372502,0.7974375978,0.8079372264,0,0,0
indic gemma_7b_it cot,0,0,0,0.8141372502,0.797967793,0.8079372264,0,0,0
indic GPT_3_5 normal,0,0,0,0.8141372502,0.7967174821,0.8079299062,0,0,0
indic GPT_3_5 cot,0,0,0,0.8141372502,0.796509745,0.8079189368,0,0,0
indic GPT_4 normal,0,0,0,0.8141372502,0.7964058183,0.8079372264,0,0,0
indic GPT_4 cot,0,0,0,0.8141372502,0.7964058183,0.8079372264,0,0,0
indic llama3_8b_8192 normal,0,0,0,0.8141372502,0.7964058183,0.8079372264,0,0,0
indic llama3_8b_8192 cot,0,0,0,0.8141372502,0.7964058183,0.8079372264,0,0,0
indic llama3_70b_8192 normal,0,0,0,0.8141372502,0.7966628425,0.8079372264,0,0,0
indic llama3_70b_8192 cot,0,0,0,0.8141372502,0.7967042148,0.8079372264,0,0,0
indic mixtral_8x7b_32768 normal,0,0,0,0.8141372502,0.7986113615,0.8079372264,0,0,0
indic mixtral_8x7b_32768 cot,0,0,0,0.8141372502,0.798573219,0.8079372264,0,0,0
non_indic gemini_1_5_flash normal,0,0,0,0.8188865443,0.7976566798,0.8086004896,0,0,0.0006139570649
non_indic gemini_1_5_flash cot,0,0,0,0.8188865443,0.79770265,0.8090426988,0,0,0.0006139570649
non_indic gemma_7b_it normal,0,0,0,0.8188865443,0.7979580875,0.8095954567,0,0,0.0007258526111
non_indic gemma_7b_it cot,0,0,0,0.8188865443,0.7984638299,0.8095954567,0,0,0.0007258526111
non_indic GPT_3_5 normal,0,0,0,0.8188865443,0.7977501344,0.8096221902,0,0,0.0007258526111
non_indic GPT_3_5 cot,0,0,0,0.8188865443,0.7975894735,0.8096167154,0,0,0.0007258526111
non_indic GPT_4 normal,0,0,0,0.8188865443,0.7976532355,0.8096286667,0,0,0.0007258526111
non_indic GPT_4 cot,0,0,0,0.8188865443,0.797625983,0.8096286667,0,0,0.0007258526111
non_indic llama3_8b_8192 normal,0,0,0,0.8188865443,0.7977223797,0.8095950322,0,0,0.0007258526111
non_indic llama3_8b_8192 cot,0,0,0,0.8188865443,0.7976388124,0.8096132624,0,0,0.0007258526111
non_indic llama3_70b_8192 normal,0,0,0,0.8188865443,0.7976592811,0.8096286667,0,0,0.0007258526111
non_indic llama3_70b_8192 cot,0,0,0,0.8188865443,0.7976000613,0.8096286667,0,0,0.0007258526111
non_indic mixtral_8x7b_32768 normal,0,0,0,0.8188865443,0.799138303,0.8096286667,0,0,0.0007258526111
non_indic mixtral_8x7b_32768 cot,0,0,0,0.8188865443,0.7989929959,0.8096286667,0,0,0.0007258526111
