key_name,correct_answer_score,pred_rationale_score,gold_rationale_score
gpt_3_5_cot_Aggregated_Indic,0.5416666667,3.316666667,4.741666667
gpt_3_5_cot_Aggregated_Non-Indic,0.7704485488,4.138962181,4.781882146
gpt_3_5_cot_Aggregated_All,0.730573711,3.995642702,4.774872912
gpt_3_5_normal_Aggregated_Indic,0.5375,3.3625,4.7
gpt_3_5_normal_Aggregated_Non-Indic,0.7625329815,4.153913808,4.703605981
gpt_3_5_normal_Aggregated_All,0.7233115468,4.015976761,4.702977487
gpt_4_cot_Aggregated_Indic,0.775,4.141666667,4.8875
gpt_4_cot_Aggregated_Non-Indic,0.8979771328,4.552330695,4.888302551
gpt_4_cot_Aggregated_All,0.8765432099,4.480755265,4.888162672
gpt_4_normal_Aggregated_Indic,0.7875,4.345833333,4.854166667
gpt_4_normal_Aggregated_Non-Indic,0.8821459982,4.55760774,4.889182058
gpt_4_normal_Aggregated_All,0.8656499637,4.520697168,4.883079158
gemini_1_5_cot_Aggregated_Indic,0.3875,2.820833333,4.620833333
gemini_1_5_cot_Aggregated_Non-Indic,0.7044854881,3.778364116,4.686895339
gemini_1_5_cot_Aggregated_All,0.6492374728,3.611474219,4.675381264
gemini_1_5_normal_Aggregated_Indic,0.4,2.816666667,4.3875
gemini_1_5_normal_Aggregated_Non-Indic,0.7176781003,3.80474934,4.691292876
gemini_1_5_normal_Aggregated_All,0.6623093682,3.632534495,4.638344227
llama3_8b_8192_cot_Aggregated_Indic,0.2541666667,2.3375,3.85
llama3_8b_8192_cot_Aggregated_Non-Indic,0.4766930519,3.133685136,4.149516271
llama3_8b_8192_cot_Aggregated_All,0.4379084967,2.994916485,4.097312999
llama3_8b_8192_normal_Aggregated_Indic,0.2916666667,2.445833333,4.245833333
llama3_8b_8192_normal_Aggregated_Non-Indic,0.4687774846,3.040457344,4.237467018
llama3_8b_8192_normal_Aggregated_All,0.4379084967,2.936819172,4.2389252
llama3_70b_8192_cot_Aggregated_Indic,0.625,3.591666667,4.7875
llama3_70b_8192_cot_Aggregated_Non-Indic,0.7414248021,4.128408091,4.711521548
llama3_70b_8192_cot_Aggregated_All,0.7211328976,4.034858388,4.72476398
llama3_70b_8192_normal_Aggregated_Indic,0.5833333333,3.541666667,4.616666667
llama3_70b_8192_normal_Aggregated_Non-Indic,0.7326297274,4.105540897,4.715039578
llama3_70b_8192_normal_Aggregated_All,0.7066085694,4.007262164,4.697893972
gemma_7b_it_cot_Aggregated_Indic,0.2,2.1875,4.358333333
gemma_7b_it_cot_Aggregated_Non-Indic,0.4335971856,2.981530343,4.421284081
gemma_7b_it_cot_Aggregated_All,0.3928830792,2.843137255,4.410312273
gemma_7b_it_normal_Aggregated_Indic,0.1458333333,1.933333333,4.2625
gemma_7b_it_normal_Aggregated_Non-Indic,0.4107299912,2.913808267,4.416886544
gemma_7b_it_normal_Aggregated_All,0.3645606391,2.74291939,4.389978214
mixtral_8x7b_32768_cot_Aggregated_Indic,0.425,2.9625,4.704166667
mixtral_8x7b_32768_cot_Aggregated_Non-Indic,0.7132805629,3.92700088,4.751978892
mixtral_8x7b_32768_cot_Aggregated_All,0.6630355846,3.758896151,4.743645606
mixtral_8x7b_32768_normal_Aggregated_Indic,0.4375,3.079166667,4.679166667
mixtral_8x7b_32768_normal_Aggregated_Non-Indic,0.6868953386,3.971855761,4.780123131
mixtral_8x7b_32768_normal_Aggregated_All,0.6434277415,3.816267248,4.762527233
